numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240101000000;100190;210;3;240;6.500000;280.550000;277.550000;81;15460;0;mq;mq;mq;mq;mq;mq;mq;mq;99320;mq;mq;200;mq;mq;mq;mq;278.550000;mq;mq;15.800000;15.800000;-10;mq;0.000000;mq;mq;0.200000;1.000000;1.000000;1.400000;2.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240101000000;100020;140;1;220;8.500000;280.650000;278.250000;85;19850;0;mq;mq;100;8;800;mq;mq;mq;99450;mq;mq;-150;mq;mq;mq;mq;279.250000;mq;mq;14.300000;16.300000;-10;2;0.000000;mq;mq;0.600000;1.200000;1.200000;1.400000;3.000000;mq;mq;mq;mq;8;mq;840;mq;9;mq;mq;mq;mq;mq;mq;mq;
07020;20240101000000;100270;240;3;270;15.600000;284.050000;278.950000;71;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100160;mq;mq;1140;mq;mq;mq;mq;mq;mq;mq;22.900000;23.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.600000;7.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240101000000;100520;180;0;230;8.600000;280.450000;276.650000;77;24100;0;mq;mq;90;7;1250;mq;mq;mq;99710;mq;mq;990;mq;mq;mq;mq;280.150000;mq;mq;12.300000;20.900000;-10;1;0.000000;mq;mq;0.600000;0.600000;1.000000;5.000000;10.400000;mq;mq;mq;mq;5;mq;1170;7;mq;1350;mq;9;mq;mq;mq;mq;
07037;20240101000000;100510;190;2;230;10.000000;279.650000;276.650000;81;41600;0;mq;mq;100;8;800;mq;mq;mq;98610;mq;mq;460;mq;mq;mq;mq;279.150000;mq;mq;16.600000;16.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.400000;1.000000;2.200000;mq;mq;mq;mq;3;mq;720;4;mq;1050;5;mq;1500;mq;mq;mq;
07072;20240101000000;100680;170;1;230;7.000000;281.050000;277.450000;78;20000;0;mq;mq;90;7;800;mq;mq;mq;99530;mq;mq;30;mq;mq;mq;mq;279.450000;mq;mq;12.000000;13.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.200000;mq;mq;mq;mq;7;mq;780;7;mq;990;7;mq;4200;mq;mq;mq;
07110;20240101000000;100870;150;1;260;4.300000;281.150000;277.750000;79;23820;mq;mq;mq;mq;mq;mq;mq;mq;mq;99680;mq;mq;1620;mq;mq;mq;mq;277.850000;mq;mq;7.500000;9.700000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.400000;1.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20240101000000;100660;190;1;mq;mq;282.950000;278.150000;72;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99960;mq;mq;1500;mq;mq;mq;mq;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;0.000000;0.400000;2.400000;6.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240101000000;100930;140;1;220;4.400000;280.650000;276.150000;73;43130;0;mq;mq;mq;2;1250;mq;mq;mq;100480;mq;mq;1060;mq;mq;mq;mq;280.650000;mq;mq;7.800000;8.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;1.600000;5.200000;mq;mq;mq;mq;2;mq;1230;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240101000000;100830;170;1;220;5.000000;279.650000;276.750000;82;18810;0;mq;mq;mq;1;4260;mq;mq;mq;99070;mq;mq;810;mq;mq;mq;mq;280.550000;mq;mq;7.200000;9.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;1.800000;mq;mq;mq;mq;1;mq;4260;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20240101000000;100760;120;2;230;6.300000;280.150000;276.950000;80;18750;0;mq;mq;mq;0;mq;mq;mq;mq;99670;mq;mq;310;mq;mq;mq;mq;mq;mq;mq;11.300000;12.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20240101000000;100950;150;2;220;7.100000;280.850000;277.650000;80;20000;0;mq;mq;75;6;800;mq;mq;mq;99520;mq;mq;190;mq;mq;mq;mq;278.950000;mq;mq;11.600000;14.000000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;2.400000;4.200000;mq;mq;mq;mq;5;mq;870;6;mq;1020;mq;mq;mq;mq;mq;mq;
07181;20240101000000;100940;70;1;210;7.800000;279.250000;276.550000;83;44910;0;mq;mq;100;7;800;mq;mq;mq;96740;mq;mq;-80;mq;mq;mq;mq;276.750000;mq;mq;10.900000;11.800000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;660;7;mq;840;8;mq;1560;mq;mq;mq;
07190;20240101000000;101060;60;3;200;5.900000;279.450000;277.650000;88;10900;60;mq;mq;100;8;1250;mq;mq;mq;99220;mq;mq;-160;mq;mq;mq;mq;276.950000;mq;mq;9.400000;11.800000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.800000;mq;mq;mq;mq;5;mq;1080;8;mq;1290;mq;mq;mq;mq;mq;mq;
07207;20240101000000;101070;110;1;270;11.400000;284.950000;279.650000;70;10000;3;0;mq;40;3;800;34;20;10;100550;mq;mq;1370;mq;mq;mq;mq;mq;mq;mq;17.900000;19.000000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;3;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20240101000000;101150;150;1;220;1.800000;281.950000;279.250000;83;15690;0;mq;mq;100;7;1250;mq;mq;mq;100830;mq;mq;1000;mq;mq;mq;mq;280.250000;mq;mq;2.600000;4.700000;-10;1;0.000000;mq;mq;0.000000;0.600000;0.600000;0.800000;17.900000;mq;mq;mq;mq;7;mq;1020;7;mq;1860;7;mq;3120;mq;9;mq;
07240;20240101000000;101110;100;1;230;6.600000;280.550000;277.550000;81;56630;0;mq;mq;mq;5;1750;mq;mq;mq;99750;mq;mq;710;mq;mq;mq;mq;279.350000;mq;mq;10.400000;10.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.800000;4.400000;mq;mq;mq;mq;1;mq;1800;5;mq;4140;mq;mq;mq;mq;mq;mq;
07255;20240101000000;101260;90;1;230;5.700000;279.850000;277.150000;83;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;99240;mq;mq;490;mq;mq;mq;mq;278.150000;mq;mq;8.900000;10.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20240101000000;101310;70;1;180;5.100000;278.650000;276.350000;85;53430;0;mq;mq;90;6;800;mq;mq;mq;98630;mq;mq;190;mq;mq;mq;mq;278.450000;mq;mq;7.600000;8.500000;-10;2;0.000000;mq;mq;-0.100000;0.200000;0.200000;0.200000;2.600000;mq;mq;mq;mq;5;mq;810;6;mq;1140;6;mq;4020;mq;mq;mq;
07299;20240101000000;101250;10;0;210;6.000000;280.150000;275.450000;72;60000;0;mq;mq;100;2;1250;mq;mq;mq;97960;mq;mq;-40;mq;mq;mq;mq;276.450000;mq;mq;9.600000;9.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.800000;3.400000;mq;mq;mq;mq;2;mq;1440;7;mq;1620;7;mq;2700;mq;mq;mq;
07314;20240101000000;101360;70;1;260;10.900000;285.450000;280.550000;72;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;101080;mq;mq;1020;mq;mq;mq;mq;mq;mq;mq;15.100000;16.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.400000;3.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20240101000000;101340;80;1;210;5.700000;279.350000;278.450000;94;19410;0;mq;mq;mq;0;mq;mq;mq;mq;99870;mq;mq;820;mq;mq;mq;mq;280.150000;mq;mq;7.500000;8.400000;-10;2;0.000000;mq;mq;0.000000;-0.100000;1.200000;2.200000;4.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
